tile,flood_label,water_body_label
nebraska_20170731t002118_x-18_y-9.png,0,0
nebraska_20170731t002118_x-19_y-10.png,0,0
nebraska_20170731t002118_x-19_y-11.png,0,0
nebraska_20170731t002118_x-19_y-12.png,0,0
nebraska_20170731t002118_x-19_y-20.png,0,0
nebraska_20170731t002118_x-19_y-21.png,0,0
nebraska_20170731t002118_x-19_y-22.png,0,0
nebraska_20170731t002118_x-19_y-23.png,1,0
nebraska_20170731t002118_x-19_y-24.png,1,0
nebraska_20170731t002118_x-19_y-25.png,0,0
nebraska_20170731t002118_x-19_y-26.png,0,0
nebraska_20170731t002118_x-19_y-27.png,0,0
nebraska_20170731t002118_x-19_y-28.png,0,0
nebraska_20170731t002118_x-19_y-29.png,0,0
nebraska_20170731t002118_x-19_y-31.png,1,1
nebraska_20170731t002118_x-19_y-32.png,1,1
nebraska_20170731t002118_x-19_y-8.png,0,0
nebraska_20170731t002118_x-19_y-9.png,0,0
nebraska_20170731t002118_x-20_y-10.png,1,1
nebraska_20170731t002118_x-20_y-11.png,0,0
nebraska_20170731t002118_x-20_y-12.png,0,0
nebraska_20170731t002118_x-20_y-13.png,0,0
nebraska_20170731t002118_x-20_y-14.png,0,0
nebraska_20170731t002118_x-20_y-20.png,0,0
nebraska_20170731t002118_x-20_y-21.png,0,0
nebraska_20170731t002118_x-20_y-22.png,0,0
nebraska_20170731t002118_x-20_y-23.png,0,0
nebraska_20170731t002118_x-20_y-24.png,0,0
nebraska_20170731t002118_x-20_y-25.png,1,1
nebraska_20170731t002118_x-20_y-9.png,0,0
nebraska_20170731t002118_x-21_y-11.png,0,0
nebraska_20170731t002118_x-21_y-12.png,0,0
nebraska_20170731t002118_x-21_y-13.png,0,0
nebraska_20170731t002118_x-21_y-14.png,0,0
nebraska_20170731t002118_x-21_y-16.png,1,0
nebraska_20170731t002118_x-21_y-7.png,0,0
nebraska_20170731t002118_x-21_y-8.png,0,0
nebraska_20170731t002118_x-21_y-9.png,0,0
nebraska_20170731t002118_x-22_y-6.png,0,0
nebraska_20170731t002118_x-22_y-8.png,0,0
nebraska_20170731t002118_x-2_y-28.png,0,0
nebraska_20170731t002118_x-2_y-29.png,0,0
nebraska_20170731t002118_x-2_y-36.png,0,0
nebraska_20170731t002118_x-3_y-19.png,1,1
nebraska_20170731t002118_x-3_y-20.png,1,1
nebraska_20170731t002118_x-3_y-21.png,1,0
nebraska_20170731t002118_x-3_y-22.png,1,1
nebraska_20170731t002118_x-3_y-23.png,1,1
nebraska_20170731t002118_x-3_y-24.png,1,1
nebraska_20170731t002118_x-3_y-25.png,1,1
nebraska_20170731t002118_x-3_y-26.png,1,0
nebraska_20170731t002118_x-3_y-27.png,0,0
nebraska_20170731t002118_x-3_y-28.png,0,0
nebraska_20170731t002118_x-3_y-35.png,0,0
nebraska_20170731t002118_x-4_y-20.png,1,1
nebraska_20170731t002118_x-4_y-21.png,1,0
nebraska_20170731t002118_x-4_y-22.png,1,1
nebraska_20170731t002118_x-4_y-23.png,1,0
nebraska_20170731t002118_x-4_y-24.png,0,0
nebraska_20170731t002118_x-4_y-25.png,1,1
nebraska_20170731t002118_x-4_y-26.png,1,1
nebraska_20170731t002118_x-4_y-27.png,0,0
nebraska_20170731t002118_x-4_y-34.png,1,0
nebraska_20170731t002118_x-5_y-13.png,0,1
nebraska_20170731t002118_x-5_y-20.png,1,1
nebraska_20170731t002118_x-5_y-21.png,0,0
nebraska_20170731t002118_x-5_y-22.png,1,1
nebraska_20170731t002118_x-5_y-23.png,1,0
nebraska_20170731t002118_x-5_y-24.png,1,0
nebraska_20170731t002118_x-5_y-25.png,1,1
nebraska_20170731t002118_x-5_y-26.png,1,1
nebraska_20170731t002118_x-5_y-27.png,0,0
nebraska_20170731t002118_x-6_y-12.png,0,0
nebraska_20170731t002118_x-6_y-13.png,1,1
nebraska_20170731t002118_x-6_y-14.png,1,1
nebraska_20170731t002118_x-6_y-20.png,1,1
nebraska_20170731t002118_x-6_y-21.png,0,0
nebraska_20170731t002118_x-6_y-23.png,1,1
nebraska_20170731t002118_x-6_y-24.png,1,1
nebraska_20170731t002118_x-6_y-25.png,1,1
nebraska_20170731t002118_x-6_y-26.png,1,1
nebraska_20170731t002118_x-6_y-27.png,0,0
nebraska_20170731t002118_x-6_y-34.png,0,0
nebraska_20170731t002118_x-6_y-36.png,0,0
nebraska_20170731t002118_x-7_y-12.png,0,1
nebraska_20170731t002118_x-7_y-13.png,1,1
nebraska_20170731t002118_x-7_y-15.png,0,0
nebraska_20170731t002118_x-7_y-20.png,1,1
nebraska_20170731t002118_x-7_y-21.png,1,1
nebraska_20170731t002118_x-7_y-22.png,1,1
nebraska_20170731t002118_x-7_y-25.png,1,1
nebraska_20170731t002118_x-7_y-26.png,1,1
nebraska_20170731t002118_x-7_y-27.png,0,0
nebraska_20170731t002118_x-7_y-33.png,0,0
nebraska_20170731t002118_x-7_y-35.png,1,0
nebraska_20170731t002118_x-7_y-36.png,1,1
nebraska_20170731t002118_x-7_y-37.png,0,0
nebraska_20170731t002118_x-8_y-12.png,0,1
nebraska_20170731t002118_x-8_y-15.png,0,0
nebraska_20170731t002118_x-8_y-16.png,0,0
nebraska_20170731t002118_x-8_y-26.png,1,1
nebraska_20170731t002118_x-8_y-27.png,0,0
nebraska_20170731t002118_x-8_y-33.png,0,0
nebraska_20170731t002118_x-8_y-36.png,1,0
nebraska_20170731t002118_x-9_y-15.png,1,1
nebraska_20170731t002118_x-9_y-16.png,0,0
nebraska_20170731t002118_x-9_y-17.png,1,0
nebraska_20170731t002118_x-9_y-26.png,1,1
nebraska_20170731t002118_x-9_y-27.png,1,1
nebraska_20170731t002118_x-9_y-28.png,0,0
nebraska_20170731t002118_x-9_y-32.png,1,1
nebraska_20170731t002118_x-9_y-37.png,0,0
